disaster_number,incident_type,incident_month,incident_begin_year,incident_duration
1375,Flood,3,2001,60
1374,Severe Storm(s),4,2001,11
1376,Flood,3,2001,161
1377,Severe Storm(s),4,2001,1
1378,Severe Storm(s),5,2001,112
1379,Coastal Storm,6,2001,15
1380,Coastal Storm,6,2001,17
1381,Severe Storm(s),6,2001,4
1382,Severe Storm(s),6,2001,7
1383,Severe Storm(s),6,2001,8
1384,Severe Storm(s),5,2001,3
1385,Severe Storm(s),6,2001,11
1386,Severe Storm(s),7,2001,50
1388,Severe Storm(s),7,2001,25
1387,Severe Storm(s),7,2001,26
1390,Severe Storm(s),7,2001,1
1391,Fire,9,2001,1
1393,Coastal Storm,9,2001,8
1394,Severe Storm(s),8,2001,1
1395,Severe Storm(s),10,2001,1
1399,Severe Storm(s),11,2001,1
1398,Severe Storm(s),11,2001,23
1400,Severe Storm(s),12,2001,46
1401,Severe Ice Storm,1,2002,12
1403,Severe Ice Storm,1,2002,15
1402,Severe Ice Storm,1,2002,17
1404,Snow,12,2001,5
1405,Severe Storm(s),2,2002,1
1406,Severe Storm(s),3,2002,3
1407,Severe Storm(s),3,2002,4
1408,Severe Storm(s),1,2002,56
1409,Tornado,4,2002,1
1411,Severe Storm(s),4,2002,5
1410,Severe Storm(s),5,2002,18
1413,Flood,4,2002,29
1412,Severe Storm(s),4,2002,47
1414,Severe Storm(s),4,2002,13
1415,Earthquake,4,2002,1
1416,Tornado,4,2002,32
1418,Severe Storm(s),4,2002,40
1419,Severe Storm(s),6,2002,19
1421,Fire,4,2002,105
1420,Flood,6,2002,22
1422,Fire,6,2002,19
1423,Flood,4,2002,33
1424,Severe Storm(s),6,2002,13
1425,Flood,6,2002,32
1428,Severe Storm(s),6,2002,8
1429,Severe Storm(s),6,2002,4
1432,Tornado,9,2002,4
1431,Severe Storm(s),6,2002,64
1433,Severe Storm(s),9,2002,1
1434,Coastal Storm,9,2002,24
1435,Hurricane,9,2002,10
1436,Hurricane,9,2002,13
1437,Hurricane,10,2002,15
1438,Hurricane,9,2002,8
1439,Severe Storm(s),10,2002,22
1440,Earthquake,11,2002,7
1441,Severe Storm(s),11,2002,3
1442,Severe Storm(s),11,2002,7
1443,Severe Storm(s),11,2002,1
1444,Severe Storm(s),11,2002,1
1445,Severe Storm(s),10,2002,58
1448,Severe Ice Storm,12,2002,2
1450,Severe Ice Storm,12,2002,1
1451,Severe Ice Storm,12,2002,2
1452,Severe Ice Storm,12,2002,1
1455,Severe Storm(s),2,2003,40
1454,Severe Storm(s),2,2003,11
1453,Severe Storm(s),2,2003,32
1456,Severe Storm(s),2,2003,12
1458,Severe Storm(s),2,2003,13
1457,Severe Ice Storm,2,2003,1
1459,Severe Storm(s),4,2003,19
1460,Severe Storm(s),3,2003,1
1461,Severe Storm(s),3,2003,8
1463,Severe Storm(s),5,2003,26
1462,Severe Storm(s),5,2003,26
1464,Severe Storm(s),5,2003,26
1465,Severe Storm(s),5,2003,22
1467,Severe Ice Storm,4,2003,2
1466,Severe Storm(s),5,2003,25
1468,Freezing,12,2002,166
1469,Severe Storm(s),5,2003,5
1470,Severe Storm(s),5,2003,3
1471,Severe Storm(s),5,2003,23
1472,Severe Storm(s),5,2003,39
1474,Severe Storm(s),6,2003,34
1475,Severe Storm(s),6,2003,13
1476,Severe Storm(s),7,2003,33
1477,Fire,6,2003,28
1478,Severe Storm(s),7,2003,7
1479,Hurricane,7,2003,13
1480,Severe Storm(s),6,2003,35
1481,Severe Storm(s),6,2003,70
1482,Severe Storm(s),7,2003,1
1484,Tornado,7,2003,35
1483,Severe Storm(s),6,2003,1
1485,Severe Storm(s),7,2003,53
1486,Severe Storm(s),7,2003,23
1487,Severe Storm(s),8,2003,20
1489,Severe Storm(s),7,2003,28
1488,Severe Storm(s),7,2003,28
1491,Hurricane,9,2003,13
1490,Hurricane,9,2003,8
1492,Hurricane,9,2003,11
1494,Hurricane,9,2003,11
1496,Hurricane,9,2003,12
1495,Hurricane,9,2003,1
1497,Severe Storm(s),9,2003,8
1498,Fire,10,2003,162
1499,Severe Storm(s),10,2003,8
1500,Severe Storm(s),11,2003,19
1502,Severe Storm(s),11,2003,1
1505,Earthquake,12,2003,46
1507,Severe Storm(s),1,2004,27
1508,Severe Storm(s),12,2003,21
1509,Severe Ice Storm,1,2004,4
1510,Severe Storm(s),12,2003,19
1512,Flood,4,2004,29
1513,Severe Storm(s),4,2004,3
1514,Severe Storm(s),4,2004,9
1515,Severe Storm(s),3,2004,80
1516,Severe Storm(s),4,2004,29
1518,Severe Storm(s),5,2004,36
1517,Severe Storm(s),5,2004,12
1519,Severe Storm(s),5,2004,34
1520,Severe Storm(s),5,2004,31
1522,Severe Storm(s),5,2004,32
1521,Severe Storm(s),5,2004,7
1523,Severe Storm(s),5,2004,23
1524,Severe Storm(s),5,2004,13
1525,Severe Storm(s),5,2004,33
1526,Severe Storm(s),5,2004,57
1528,Severe Storm(s),5,2004,40
1527,Severe Storm(s),5,2004,19
