disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
769,WA,Flood,Severe Storms & Flooding,1986-05-20,1986-05-20,Spokane (County),5,1,1986,West,Spring,1,1,4
770,WI,Flood,Severe Storms,1986-08-06,1986-08-06,Milwaukee (County),8,1,1986,Midwest,Summer,2,2,3
771,NH,Flood,"Severe Storms, Flooding",1986-07-29,1986-08-10,Sullivan (County),7,12,1986,Northeast,Summer,2,1,1
773,MD,Flood,Severe Storm & Flooding,1985-11-04,1985-11-06,Allegany (County),11,2,1985,Northeast,Autumn,3,1,1
772,TX,Tornado,Tornadoes,1986-05-01,1986-05-01,Motley (County),5,1,1986,Southwest,Spring,1,1,5
774,MI,Flood,Severe Storms & Flooding,1986-09-10,1986-10-10,Manistee (County),9,30,1986,Midwest,Autumn,3,1,3
775,WI,Flood,Severe Storms & Flooding,1986-09-10,1986-10-03,Kenosha (County),9,23,1986,Midwest,Autumn,3,1,3
776,IL,Flood,Severe Storms & Flooding,1986-09-21,1986-10-15,Jersey (County),9,24,1986,Midwest,Autumn,3,2,3
779,MO,Flood,Severe Storms & Flooding,1986-09-18,1986-10-15,Shelby (County),9,27,1986,Midwest,Autumn,3,1,3
778,OK,Flood,Severe Storms & Flooding,1986-09-26,1986-10-15,Mayes (County),9,19,1986,Southwest,Autumn,3,1,5
777,MT,Flood,Severe Storms & Flooding,1986-09-25,1986-10-28,Blaine (County),9,33,1986,West,Autumn,3,2,4
780,KS,Flood,Severe Storms & Flooding,1986-10-02,1986-10-04,Chautauqua (County),10,2,1986,Midwest,Autumn,3,2,3
781,AK,Flood,"Coastal Storm, High Winds & Waves",1986-09-20,1986-09-21,Tanana (ANV/ANVSA),9,1,1986,West,Autumn,3,1,4
782,AK,Flood,Severe Storms & Flooding,1986-10-10,1986-10-13,Kenai Peninsula (Borough),10,3,1986,West,Autumn,3,2,4
784,WA,Flood,Severe Storms & Flooding,1986-11-22,1986-11-29,Pacific (County),11,7,1986,West,Autumn,3,1,4
787,MS,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1987-02-28,1987-02-28,Jones (County),2,1,1987,Southeast,Winter,4,2,2
788,ME,Flood,Severe Storms & Flooding,1987-03-30,1987-04-12,Cumberland (County),3,13,1987,Northeast,Spring,1,2,1
789,NH,Flood,Severe Storms & Flooding,1987-03-30,1987-04-11,Merrimack (County),3,12,1987,Northeast,Spring,1,2,1
790,MA,Flood,Severe Storms & Flooding,1987-03-30,1987-04-13,Hampshire (County),3,14,1987,Northeast,Spring,1,2,1
792,NY,Flood,Flooding,1987-04-03,1987-04-07,Ulster (County),4,4,1987,Northeast,Spring,1,2,1
793,TX,Tornado,Severe Storms & Tornadoes,1987-05-22,1987-05-22,Rusk (County),5,1,1987,Southwest,Spring,1,1,5
794,OK,Flood,Severe Storms & Flooding,1987-05-19,1987-05-31,Cotton (County),5,12,1987,Southwest,Spring,1,1,5
796,OH,Flood,Severe Storms & Flooding,1987-07-01,1987-07-10,Marion (County),7,9,1987,Midwest,Summer,2,1,3
795,IA,Flood,Storms & Flash Flooding,1987-05-26,1987-05-31,Mills (County),5,5,1987,Midwest,Spring,1,1,3
797,MN,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1987-07-20,1987-08-05,Ramsey (County),7,16,1987,Midwest,Summer,2,2,3
798,IL,Flood,Severe Storms & Flooding,1987-08-13,1987-08-30,DuPage (County),8,17,1987,Midwest,Summer,2,2,3
799,CA,Earthquake,Earthquake & Aftershocks,1987-10-01,1987-11-20,Los Angeles (County),10,50,1987,West,Autumn,3,2,4
801,NY,Snow,Severe Winter Storm,1987-10-04,1987-10-04,Columbia (County),10,1,1987,Northeast,Autumn,3,1,1
802,TX,Tornado,Severe Storms & Tornadoes,1987-11-15,1987-11-16,Madison (County),11,1,1987,Southwest,Autumn,3,1,5
804,LA,Tornado,Tornadoes & Flooding,1987-11-15,1987-11-19,Franklin (Parish),11,4,1987,Southeast,Autumn,3,1,2
806,AR,Tornado,Tornadoes,1987-12-14,1987-12-14,Crittenden (County),12,1,1987,Southeast,Winter,4,2,2
807,AR,Flood,Severe Storms & Flooding,1987-12-24,1988-01-03,Lonoke (County),12,10,1987,Southeast,Winter,4,1,2
808,HI,Flood,"Severe Storms, Mudslides & Flooding",1987-11-12,1988-01-02,Honolulu (County),11,51,1987,West,Autumn,3,2,4
812,CA,Flood,"Severe Storms, High Tides & Flooding",1988-01-17,1988-01-22,Orange (County),1,5,1988,West,Winter,4,1,4
813,AK,Fire,Fire,1988-02-10,1988-02-10,Tanana (ANV/ANVSA),2,1,1988,West,Winter,4,1,4
814,IA,Tornado,"Rain, Winds, & Tornadoes",1988-07-15,1988-07-16,Pottawattamie (County),7,1,1988,Midwest,Summer,2,1,3
815,CA,Fire,Wildfires,1988-09-11,1988-09-24,Yuba (County),9,13,1988,West,Autumn,3,1,4
816,TX,Hurricane,Hurricane Gilbert,1988-09-15,1988-09-17,Hidalgo (County),9,2,1988,Southwest,Autumn,3,1,5
817,AR,Tornado,Severe Storms & Tornadoes,1988-11-15,1988-11-20,Lonoke (County),11,5,1988,Southeast,Autumn,3,1,2
818,NC,Tornado,Severe Storms & Tornadoes,1988-11-28,1988-11-28,Halifax (County),11,1,1988,Southeast,Autumn,3,1,2
819,IL,Tornado,Severe Storms & Tornadoes,1989-01-07,1989-01-07,Wayne (County),1,1,1989,Midwest,Winter,4,2,3
820,UT,Flood,Dike Failure & Flash Flooding,1989-01-01,1989-01-01,Washington (County),1,1,1989,West,Winter,4,1,4
821,KY,Flood,Severe Storms & Flooding,1989-01-13,1989-03-08,Hart (County),1,54,1989,Southeast,Winter,4,2,2
822,WA,Flood,"Heavy Rains, Flooding & Mudslides",1989-03-08,1989-03-17,Stevens (County),3,9,1989,West,Spring,1,1,4
823,TX,Flood,Severe Storms & Flooding,1989-03-28,1989-03-29,Gregg (County),3,1,1989,Southwest,Spring,1,2,5
824,MN,Flood,Flooding,1989-03-29,1989-05-08,Norman (County),3,40,1989,Midwest,Spring,1,2,3
825,ND,Flood,Flooding,1989-03-29,1989-05-08,Cass (County),3,40,1989,Midwest,Spring,1,2,3
826,AK,Freezing,Severe Freezing,1989-01-15,1989-02-15,Tanana (ANV/ANVSA),1,31,1989,West,Winter,4,1,4
827,NC,Tornado,Tornadoes,1989-05-05,1989-05-06,Cleveland (County),5,1,1989,Southeast,Spring,1,1,2
828,TX,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1989-05-04,1989-06-07,Cass (County),5,34,1989,Southwest,Spring,1,1,5
829,LA,Flood,Severe Storms & Flooding,1989-05-04,1989-05-27,La Salle (Parish),5,23,1989,Southeast,Spring,1,1,2
830,ME,Flood,Severe Storms & Flooding,1989-05-05,1989-05-13,Franklin (County),5,8,1989,Northeast,Spring,1,1,1
831,OH,Flood,Severe Storms & Flooding,1989-05-23,1989-06-26,Geauga (County),5,34,1989,Midwest,Spring,1,1,3
